Region,Gender,Year,Lowerbound,Upperbound,Mean_Estimate,Country,age_group,CI_WIDTH,Obesity_level,CI_Width,Condition
Western Pacific,Both,2018,40.77446,48.40473,44.58293,KIR,Adult,7.630270000000003,High,7.630270000000003,Obesity
Africa,Male,2022,10.06087,15.80384,12.75466,ZAF,Adult,5.74297,Low,5.74297,Obesity
Americas,Male,2016,17.32923,24.4669,20.80539,TTO,Adult,7.13767,Low,7.13767,Obesity
Eastern Mediterranean,Both,2014,22.31515,26.37201,24.29397,OMN,Adult,4.05686,Low,4.05686,Obesity
Western Pacific,Both,2017,57.08292,65.14211,61.08099,TUV,Adult,8.059190000000001,High,8.059190000000001,Obesity
Western Pacific,Both,2022,41.33341,55.56905,48.41785,PYF,Adult,14.235639999999997,High,14.235639999999997,Obesity
Africa,Female,2012,1.65022,2.29902,1.957,ETH,Adult,0.6488,Low,0.6488,Obesity
Europe,Male,2021,26.44661,37.87842,31.92351,IRL,Adult,11.431809999999999,High,11.431809999999999,Obesity
Africa,Both,2021,2.49759,7.16351,4.26484,BDI,Adult,4.66592,Low,4.66592,Obesity
Eastern Mediterranean,Female,2012,24.74948,32.42786,28.47195,TUN,Adult,7.678380000000004,Moderate,7.678380000000004,Obesity
Africa,Female,2020,15.85376,20.81449,18.29357,GHA,Adult,4.96073,Low,4.96073,Obesity
Europe,Female,2013,17.65597,22.10873,19.8731,BGR,Adult,4.452760000000001,Low,4.452760000000001,Obesity
Eastern Mediterranean,Both,2018,11.12872,14.7693,12.90614,SDN,Adult,3.64058,Low,3.64058,Obesity
Eastern Mediterranean,Male,2019,19.40656,32.28366,25.57182,LBY,Adult,12.877099999999999,Moderate,12.877099999999999,Obesity
Americas,Female,2012,30.78968,42.15925,36.34981,DMA,Adult,11.36957,High,11.36957,Obesity
Africa,Male,2020,3.27525,5.68801,4.37983,GHA,Adult,2.41276,Low,2.41276,Obesity
Western Pacific,Male,2022,24.40172,37.1288,30.6056,BRN,Adult,12.727079999999997,High,12.727079999999997,Obesity
Europe,Male,2014,23.29844,29.79448,26.43612,GEO,Adult,6.496040000000001,Moderate,6.496040000000001,Obesity
South-East Asia,Male,2019,1.86418,2.92623,2.35027,BGD,Adult,1.06205,Low,1.06205,Obesity
Americas,Male,2019,22.97224,30.18333,26.42761,PAN,Adult,7.211090000000002,Moderate,7.211090000000002,Obesity
Eastern Mediterranean,Female,2016,47.97032,52.62689,50.29964,EGY,Adult,4.656570000000002,High,4.656570000000002,Obesity
Americas,Both,2016,20.59927,29.87878,25.10533,SUR,Adult,9.279509999999998,Moderate,9.279509999999998,Obesity
Americas,Female,2017,10.27707,14.08876,12.11386,HTI,Adult,3.8116900000000005,Low,3.8116900000000005,Obesity
Americas,Male,2020,20.13551,25.50398,22.70015,BRA,Adult,5.3684699999999985,Low,5.3684699999999985,Obesity
Africa,Male,2019,2.70073,9.37924,5.41492,TCD,Adult,6.678509999999999,Low,6.678509999999999,Obesity
Americas,Both,2012,24.86764,28.00007,26.39856,ARG,Adult,3.1324299999999994,Moderate,3.1324299999999994,Obesity
Africa,Male,2019,3.93304,9.32342,6.21656,COM,Adult,5.39038,Low,5.39038,Obesity
Africa,Male,2015,6.73582,10.5624,8.54155,SWZ,Adult,3.82658,Low,3.82658,Obesity
Western Pacific,Female,2022,38.29104,51.83166,45.05192,PLW,Adult,13.540619999999997,High,13.540619999999997,Obesity
Africa,Female,2016,6.14806,8.12878,7.119,MWI,Adult,1.9807200000000007,Low,1.9807200000000007,Obesity
Europe,Both,2018,18.63421,24.24244,21.40929,KGZ,Adult,5.608229999999999,Low,5.608229999999999,Obesity
Americas,Male,2014,12.85428,18.13392,15.42452,LCA,Adult,5.2796400000000006,Low,5.2796400000000006,Obesity
Americas,Both,2022,24.82373,36.329,30.49136,GRD,Adult,11.50527,High,11.50527,Obesity
Western Pacific,Female,2014,20.10914,26.17382,23.09887,SLB,Adult,6.064679999999999,Low,6.064679999999999,Obesity
Africa,Both,2015,2.05935,3.60031,2.76062,ERI,Adult,1.54096,Low,1.54096,Obesity
Europe,Female,2015,20.23689,27.39449,23.71556,SVK,Adult,7.157600000000002,Low,7.157600000000002,Obesity
Europe,Female,2015,21.63973,25.28893,23.38666,FIN,Adult,3.6492000000000004,Low,3.6492000000000004,Obesity
Europe,Female,2020,19.45743,25.06867,22.20602,ITA,Adult,5.611240000000002,Low,5.611240000000002,Obesity
Africa,Female,2017,14.47321,18.21712,16.3078,CMR,Adult,3.7439100000000014,Low,3.7439100000000014,Obesity
Africa,Male,2018,2.05792,11.39328,5.49175,GNB,Adult,9.335360000000001,Low,9.335360000000001,Obesity
Americas,Both,2012,21.15521,27.80339,24.38366,DMA,Adult,6.64818,Low,6.64818,Obesity
Europe,Male,2015,12.00588,17.70196,14.75782,Armenia,Adult,5.69608,Low,5.69608,Obesity
Americas,Both,2012,17.5012,25.20709,21.00136,HND,Adult,7.70589,Low,7.70589,Obesity
Europe,Both,2016,14.33292,18.23722,16.22434,NLD,Adult,3.904300000000001,Low,3.904300000000001,Obesity
Americas,Both,2016,20.81882,23.33161,22.09031,ECU,Adult,2.5127900000000025,Low,2.5127900000000025,Obesity
Africa,Female,2014,20.58696,25.30903,22.91689,MUS,Adult,4.722069999999999,Low,4.722069999999999,Obesity
Americas,Both,2017,21.09727,24.6384,22.85183,VEN,Adult,3.541129999999999,Low,3.541129999999999,Obesity
